epoch,learning_rate,loss,mae_years,rmse_years,val_loss,val_mae_years,val_rmse_years
0,0.000699999975040555,62.542686462402344,11.668136596679688,15.012246131896973,36.601707458496094,8.579407691955566,11.108078002929688
1,0.000699999975040555,53.5086784362793,10.137550354003906,12.97945785522461,40.54416275024414,9.245049476623535,11.95257568359375
2,0.000699999975040555,50.29367446899414,9.869902610778809,12.648520469665527,36.8177604675293,8.574451446533203,11.271276473999023
3,0.000699999975040555,48.68280029296875,9.56657600402832,12.301915168762207,35.31458282470703,8.319112777709961,11.019935607910156
4,0.000699999975040555,47.476646423339844,9.42612075805664,12.16580867767334,35.2144660949707,8.286909103393555,10.875202178955078
5,0.000699999975040555,46.50983810424805,9.18271255493164,11.916282653808594,33.873023986816406,8.038155555725098,10.694259643554688
6,0.000699999975040555,45.70407485961914,9.16719913482666,11.926219940185547,35.53849411010742,8.323360443115234,11.031572341918945
7,0.000699999975040555,44.81145477294922,9.08084774017334,11.873247146606445,33.687923431396484,7.992481708526611,10.656686782836914
8,0.000699999975040555,44.518272399902344,9.07828140258789,11.897560119628906,32.207847595214844,7.709532737731934,10.487249374389648
9,0.000699999975040555,43.54182434082031,8.94435977935791,11.753547668457031,30.970991134643555,7.479247093200684,10.26941967010498
10,0.000699999975040555,43.049400329589844,8.866333961486816,11.685911178588867,31.524587631225586,7.573773384094238,10.367910385131836
11,0.000699999975040555,42.22647476196289,8.835406303405762,11.644067764282227,32.970577239990234,7.834396839141846,10.587347030639648
12,0.000699999975040555,42.43071746826172,8.83824348449707,11.624345779418945,32.910675048828125,7.829960346221924,10.494824409484863
13,0.000699999975040555,41.59028625488281,8.743508338928223,11.560493469238281,30.93873405456543,7.465271949768066,10.165599822998047
14,0.000699999975040555,41.32728576660156,8.622954368591309,11.408485412597656,30.81476593017578,7.439162731170654,10.136956214904785
15,0.000699999975040555,41.239662170410156,8.664671897888184,11.511549949645996,30.92886734008789,7.45803689956665,10.160262107849121
16,0.000699999975040555,40.620731353759766,8.596341133117676,11.34893798828125,33.938594818115234,8.013455390930176,10.66619873046875
17,0.000699999975040555,39.8909912109375,8.565597534179688,11.38623332977295,34.27760696411133,8.083296775817871,10.689958572387695
18,7.499999810534064e-06,50.787174224853516,10.221981048583984,13.218134880065918,32.526100158691406,7.802168846130371,10.609833717346191
19,7.499999810534064e-06,45.30720520019531,9.069778442382812,11.956735610961914,30.673139572143555,7.421430587768555,10.120555877685547
20,7.499999810534064e-06,43.47075653076172,8.800596237182617,11.664169311523438,30.976158142089844,7.474427223205566,10.172062873840332
21,7.499999810534064e-06,40.840450286865234,8.441040992736816,11.251065254211426,29.677453994750977,7.225244045257568,9.886404037475586
22,7.499999810534064e-06,39.2840576171875,8.168573379516602,10.892373085021973,28.714731216430664,7.045403957366943,9.683886528015137
23,7.499999810534064e-06,37.88333511352539,8.07598876953125,10.764359474182129,27.478595733642578,6.807408809661865,9.413905143737793
24,7.499999810534064e-06,37.184024810791016,7.8701171875,10.52044677734375,27.409812927246094,6.800069808959961,9.411481857299805
25,7.499999810534064e-06,35.48005676269531,7.610888481140137,10.20055103302002,27.766660690307617,6.862672328948975,9.486002922058105
26,7.499999810534064e-06,34.44855499267578,7.539464473724365,10.133170127868652,26.864959716796875,6.702314376831055,9.307464599609375
27,7.499999810534064e-06,33.36055374145508,7.420519828796387,9.991604804992676,27.969200134277344,6.895183086395264,9.55930233001709
28,7.499999810534064e-06,33.35985565185547,7.34527063369751,9.864922523498535,26.441917419433594,6.623693943023682,9.24084186553955
29,7.499999810534064e-06,32.188682556152344,7.262182712554932,9.791653633117676,26.367076873779297,6.597920894622803,9.20388126373291
30,7.499999810534064e-06,30.89175033569336,7.089286804199219,9.574710845947266,25.03056526184082,6.351725101470947,8.903887748718262
31,7.499999810534064e-06,30.198835372924805,6.966755390167236,9.416309356689453,24.999286651611328,6.3462700843811035,8.915061950683594
32,7.499999810534064e-06,30.124176025390625,6.868576526641846,9.280840873718262,24.624738693237305,6.2722296714782715,8.865279197692871
33,7.499999810534064e-06,29.273534774780273,6.845183372497559,9.261126518249512,24.781410217285156,6.300814628601074,8.853304862976074
34,7.499999810534064e-06,28.86292266845703,6.762594699859619,9.16175365447998,24.080081939697266,6.170947074890137,8.720954895019531
35,7.499999810534064e-06,27.852964401245117,6.635542392730713,9.033381462097168,24.06057357788086,6.164803504943848,8.706721305847168
36,7.499999810534064e-06,27.572879791259766,6.545139312744141,8.898740768432617,23.274900436401367,6.016143321990967,8.542074203491211
37,7.499999810534064e-06,27.305444717407227,6.571043014526367,8.920365333557129,23.526081085205078,6.061599254608154,8.60360336303711
38,7.499999810534064e-06,26.724899291992188,6.451242446899414,8.79934310913086,23.22268295288086,6.004136085510254,8.556775093078613
39,7.499999810534064e-06,25.88861656188965,6.38270902633667,8.678403854370117,22.909334182739258,5.947470664978027,8.464688301086426
40,7.499999810534064e-06,25.381610870361328,6.270452499389648,8.539312362670898,22.433597564697266,5.860863208770752,8.362292289733887
41,7.499999810534064e-06,25.10822868347168,6.242514133453369,8.497138023376465,22.342519760131836,5.8379082679748535,8.348267555236816
